Word,Meaning
wayward,difficult to control or predict because of unusual or perverse behavior
versatile,able to adapt or be adapted to many different functions or activities
umbrage,a feeling of offense, annoyance, or resentment
trenchant,vigorous or incisive in expression or style; sharply effective
torpor,a state of physical or mental inactivity; sluggishness
tantamount,equivalent in seriousness; virtually the same as
tantalizing,teasing or tormenting with the promise of something unattainable
surreptitious,kept secret, especially because it would not be approved of
subservient,prepared to obey others unquestioningly; less important or subordinate
stringent,strict, precise, and exacting
reticent,reserved; unwilling to speak freely or reveal thoughts and feelings
polymath,a person of wide-ranging knowledge or learning
inborn,natural or existing from birth; innate
fruitful,producing good or helpful results; productive
flummoxed,bewildered or confused
exacting,making great demands on skill, attention, or resources; demanding
elitist,believing that a society or system should be led by an elite; snobbish
divorced,completely separated or disconnected
discreet,careful and prudent in speech or action, especially to avoid offense or gain advantage
dictate,to lay down authoritatively; to control or determine
deride,to mock or ridicule
correlate,to have a mutual relationship or connection with something
competent,having the necessary ability, knowledge, or skill to do something successfully
collaborate,to work jointly with others, especially on an intellectual or creative project
astringent,sharp or severe in manner or tone; also causing skin contraction
apologist,a person who defends or supports something that is controversial or criticized
animus,strong hostility or ill will
amend,to make minor changes to improve or make more accurate
adroit,clever or skillful in using the hands or mind
acquiesce,to accept something reluctantly but without protest
