Word,Meaning
veritable,true or real; used to emphasize the appropriateness of a description
unseemly,not proper or appropriate for the situation; indecent or improper
subordinate,lower in rank or position; secondary; to treat as less important
scorn,a feeling or expression of contempt or disdain
prolix,using or containing too many words; tediously lengthy
proficient,competent or skilled in doing or using something
predicament,a difficult, unpleasant, or embarrassing situation
pernicious,having a harmful effect, especially in a gradual or subtle way
noxious,harmful, poisonous, or very unpleasant
modest,humble or moderate in estimate of one’s abilities; limited in size or amount
manacle,to restrain or shackle; a handcuff or restraint
irksome,annoying, irritating, or tedious
inform,to influence or give character to; to provide knowledge or inspiration
industrious,diligent and hard-working
erratic,not even or regular in pattern or movement; unpredictable
equitable,fair and impartial
efficacious,producing the intended or desired result; effective
dissident,a person who opposes official policy; rebellious
discount,to regard something as unworthy of consideration; to minimize importance
deflect,to cause something to change direction; to divert or avoid
dawdle,to waste time or move slowly
contempt,the feeling that something or someone is worthless or deserving of scorn
blithe,showing a casual and cheerful indifference; carefree
aversion,a strong dislike or disinclination
augment,to make larger, greater, or more intense
attenuate,to reduce the force, effect, or value of something; to weaken
amalgamate,to combine or unite to form one organization or structure
acquisitive,strongly interested in acquiring money or material things
accessible,easy to approach, reach, or understand
abet,to encourage or assist someone in committing a wrongdoing
