Word,Meaning
xenophobic,having an irrational fear or hatred of foreigners or strangers
wheedle,to persuade using flattery or smooth talk
undercut,to weaken or undermine something
unalloyed,pure; not mixed with anything else
turpitude,wickedness or moral corruption
tangible,real and touchable; clear and definite
swindle,to cheat or deceive someone out of money
squander,to waste (time, money, or resources) foolishly
sentimental,showing tender or emotional feelings (often excessively)
repugnant,extremely distasteful; offensive or unacceptable
relegate,to assign to a lower rank or position
philistine,a person who is indifferent or hostile to culture and the arts
peccadillo,a minor fault or small sin
miscreant,a wrongdoer; a villain
lambaste,to criticize harshly; to attack verbally
implacable,unable to be appeased or calmed; relentless
imperturbable,calm and unable to be upset or excited
heady,exciting, stimulating, or intoxicating
haughty,arrogant, prideful, and disdainful
exigent,requiring immediate action; urgent
excoriate,to severely criticize or condemn
euphemism,a mild expression used in place of a harsh or direct one
estimable,worthy of admiration or respect
dirge,a slow, mournful song, especially for a funeral
curmudgeon,a bad-tempered, difficult person
chary,cautious and wary; reluctant to take risks
cajole,to persuade with flattery or coaxing
bombastic,high-sounding but with little meaning; overly inflated speech
barren,unproductive; unable to produce results
antagonize,to provoke hostility or make someone your opponent
