Word,Meaning
truculent,eager or quick to argue or fight; aggressively defiant
spartan,showing or characterized by simplicity and lack of luxury or comfort
sluggish,slow-moving or lacking energy
skirt,to go around or avoid dealing with something
sham,something that is false or fake; a pretense or deception
satirical,using humor, irony, or exaggeration to criticize or expose
relish,great enjoyment or pleasure in something
rapacious,aggressively greedy or grasping
predilection,a strong liking or preference for something
preclude,to prevent from happening; to make impossible
pervasive,spreading widely throughout an area or group
perilous,full of danger or risk
perfunctory,carried out with minimal effort or reflection; superficial
panacea,a universal solution or remedy for all problems or diseases
ostentatious,characterized by vulgar or pretentious display; designed to impress
obeisance,a gesture of respect or deference; deep bow or homage
mawkish,overly sentimental or emotional to the point of being sickening
limpid,clear and transparent; easily understood
fractious,irritable and quarrelsome; difficult to control
eccentric,unconventional and slightly strange
droll,curious or unusual in a way that provokes dry amusement
deliberate,done consciously and intentionally; careful and unhurried
debilitating,making someone weak or infirm; causing a loss of strength
cumbersome,large or heavy and therefore difficult to carry or use; unwieldy
complacent,self-satisfied and unaware of possible dangers or deficiencies
clandestine,kept secret or done secretively, especially for illicit purposes
churlish,rude in a mean-spirited or surly way
chivalrous,courteous and gallant, especially toward women; honorable
boisterous,rough and noisy; energetic and cheerful
abhor,to regard with disgust and hatred; to loathe
