Word,Meaning
vexation,the state of being annoyed, frustrated, or worried
upbraid,to scold or criticize someone severely
tepid,showing little enthusiasm; lukewarm
tarnish,to lose or cause to lose luster or reputation; to make less bright
sound,solid and reliable; based on valid reasoning or evidence
sanctimonious,making a show of being morally superior to others; hypocritically pious
pliant,easily bent or influenced; flexible
pithy,concise and forcefully expressive
petulant,childishly sulky or bad-tempered
patent,obvious or easily recognizable; also a government right granting an invention
miserly,unwilling to spend money; stingy
inveterate,firmly established and long-standing; habitual
inclined,likely or willing to do something; having a tendency toward
incessant,continuing without pause or interruption; ceaseless
impugn,to dispute the truth or validity of; to call into question
impair,to weaken or damage something
hinder,to make it difficult for someone or something to do or happen; to obstruct
foolhardy,recklessly bold or rash
fallacious,based on a mistaken belief; logically unsound
dogmatic,asserting opinions in an arrogant or authoritative manner without evidence
divulge,to make known (a secret or private information)
disingenuous,not sincere or honest; pretending to know less than one actually does
contentious,causing or likely to cause an argument; controversial
complementary,combining in such a way as to enhance or complete each other
circumscribe,to restrict something within limits; to confine
cataclysmic,relating to a violent natural event; extremely destructive or transformative
bogus,not genuine or true; fake
assertive,having or showing a confident and forceful personality
ascertain,to find out or discover with certainty
acclaim,praise enthusiastically and publicly
