Word,Meaning
vapid,offering nothing that is stimulating or challenging; dull and uninspiring
utilitarian,designed to be useful or practical rather than attractive
trivial,of little value or importance; insignificant
skullduggery,dishonest or deceitful behavior; trickery
scant,barely sufficient or adequate
sanguine,optimistic or positive, especially in a bad or difficult situation
sagacious,having or showing keen mental discernment and good judgment; wise
pugnacious,eager or quick to argue, quarrel, or fight
profuse,abundant or excessive in amount
perfidy,treachery; deceitfulness and untrustworthiness
palpable,able to be touched or felt; so intense as to seem tangible
oust,to remove or drive out from a position or place
omnipresent,present or widespread everywhere at the same time
obviate,to remove a need or difficulty; to prevent or avoid something undesirable
nullify,to make legally or practically void; to invalidate
nettlesome,causing irritation or annoyance
mundane,lacking interest or excitement; concerned with ordinary or earthly matters
momentary,lasting for a very short time; brief
innocuous,harmless; not likely to offend or provoke
indiscriminate,done at random or without careful judgment; lacking selectivity
galvanize,to shock or excite someone into taking action
gainsay,to deny or contradict a fact or statement
forestall,to prevent or obstruct something by taking action ahead of time
flamboyant,tending to attract attention due to exuberance, style, or confidence
evanescent,quickly fading or disappearing; transient
egregious,outstandingly bad; shocking
decadent,characterized by excessive indulgence in pleasure or luxury; morally declining
convivial,friendly, lively, and enjoyable; sociable
conjectural,based on guesswork or incomplete evidence; speculative
accentuate,to make more noticeable or prominent; to emphasize
