Word,Meaning
venerate,to regard with great respect; to revere
venal,corrupt; open to bribery or easily influenced by money
underscore,to emphasize or highlight the importance of something
ubiquitous,present, appearing, or found everywhere
transient,lasting only for a short time; temporary
tractable,easy to control or influence
tortuous,full of twists and turns; excessively complicated or complex
timorous,showing or suffering from nervousness, fear, or a lack of confidence
subvert,to undermine the authority or power of an established system or institution
subjective,based on personal feelings, tastes, or opinions rather than facts
spurious,false or fake; not genuine or authentic
specious,seemingly true but actually false; misleading in appearance
proliferate,to increase rapidly in number or multiply quickly
probity,the quality of having strong moral principles; honesty and integrity
presumptuous,overly bold or forward; taking liberties without permission
pertinacious,holding firmly to an opinion or course of action; stubbornly persistent
entitled,believing oneself to deserve special privileges or treatment
engender,to cause or give rise to a feeling, situation, or condition
empirical,based on observation or experience rather than theory
dupe,to deceive or trick someone
dogged,showing tenacity and grim persistence
dissemble,to conceal one’s true motives, feelings, or beliefs; to disguise or pretend
connoisseur,an expert judge in matters of taste (especially food, art, or wine
