Word,Meaning
treatise,a formal written work dealing systematically with a subject
transcend,to go beyond limits; to surpass
tacit,understood without being stated; implied
supplant,to replace or take the place of something or someone
serene,calm, peaceful, and untroubled
ramification,a consequence or result, often complex or unwelcome
officious,excessively eager to offer unwanted help or authority
morose,sullen, gloomy, and ill-tempered
macabre,gruesome, disturbing, or associated with death
lugubrious,excessively mournful, sad, or gloomy
lavish,generous, extravagant, abundant
lavish (2),to give in large amounts; to spend freely
lampoon,to publicly mock or ridicule
insolent,disrespectful and boldly rude
ingrained,deeply rooted; firmly established
incidental,secondary or minor; happening as a consequence
idiosyncratic,distinctive or peculiar to an individual
gullible,easily fooled or deceived
flustered,confused, nervous, or upset
figurative,not literal; using metaphor or symbolism
fickle,changing frequently; unreliable in loyalty or feelings
exorbitant,unreasonably high or excessive
equanimity,calmness and composure under stress
eclectic,drawn from various sources or styles
doctrinaire,rigidly devoted to a doctrine; inflexible in beliefs
corporeal,relating to the physical body; tangible
conducive,making a situation likely or possible; helpful
cease,to stop or come to an end
axiomatic,self-evident; universally accepted as true
ardent,passionate and enthusiastic
apprehension,anxiety or fear; understanding or grasp of something
