Word,Meaning
vivacious,full of life and energy; lively and animated
unprecedented,never done or known before; without previous example
tentative,not certain or fixed; provisional; hesitant
temper,to moderate; to soften or tone down
stint,a period of time spent doing something; to be frugal or restrict
renege,to go back on a promise or agreement
qualm,a feeling of doubt, uneasiness, or fear
propensity,a natural tendency or inclination
prodigious,remarkably great in size, extent, or degree
phlegmatic,calm, unemotional, and difficult to excite
painstaking,done with great care and thoroughness
obstinate,stubborn and refusing to change one's opinion
liability,a disadvantage or drawback; legal responsibility
inviolate,untouched; not violated; pure and protected
implicit,implied though not stated directly
histrionic,overly theatrical or dramatic
heterodox,not conforming to accepted beliefs or standards; unorthodox
gaffe,a social or verbal blunder; an embarrassing mistake
foment,to stir up, provoke, or incite (often trouble or rebellion)
fervent,passionate and intensely enthusiastic
falter,to lose strength or momentum; hesitate
extrapolate,to infer or estimate by projecting from known information
exonerate,to clear from blame or wrongdoing
euphoric,extremely happy or excited
embellish,to decorate or add details to make more attractive; to exaggerate
elementary,basic and simple; fundamental
economy,efficient use of resources; frugality
cumbersome,large or heavy and difficult to manage; complicated
chastise,to criticize or punish severely
arresting,attracting attention; striking or eye-catching
