Word,Meaning
vacuous,lacking thought or intelligence; empty or blank
turgid,swollen or distended; pompous or bombastic in style
turbid,cloudy or muddy; confused or obscure
reprobate,a morally unprincipled person; to condemn or disapprove strongly
remote,far away in distance or relation; unlikely or improbable
rampant,spreading unchecked or unrestrained; excessively prevalent
piquant,pleasantly sharp or stimulating; attractively provocative
penurious,extremely stingy or miserly; very poor or impoverished
patronize,to treat with condescension; to support or give financial backing
paragon,a model of excellence or perfection
pacify,to bring peace to; to calm or soothe
occlude,to block or stop up
mediate,to intervene to resolve a dispute; to bring about agreement
malevolent,showing ill will or malicious intent
levity,lightness of manner or behavior; lack of seriousness
latitude,freedom of action or thought; distance north or south of the equator
inquisitive,curious or eager for knowledge
ineluctable,impossible to avoid or escape
indignant,feeling anger or resentment at unfair treatment
indictment,a formal accusation or charge; strong criticism
gregarious,sociable and fond of company
entreat,to beg or plead earnestly
endow,to provide with a quality or asset; to donate money or resources
encroach,to intrude gradually or trespass
effrontery,shameless boldness or audacity
dilettante,a person with superficial interest in an art or subject
depravity,moral corruption or wickedness
caricature,an exaggerated representation; a distorted imitation
auxiliary,providing supplementary or additional help
abstruse,difficult to understand; obscure
