Word,Meaning
recapitulate,to summarize or restate briefly; to repeat or go over again
propitiate,to appease or placate someone; to win favor
prevail,to triumph or succeed; to be widespread or predominant; to persist or endure
prescribe,to set down authoritatively as a rule; to recommend or order a treatment or action
presage,to foretell or predict; to be a sign or warning of something to come
prefigure,to foreshadow or indicate beforehand
pejorative,expressing disapproval or contempt; having a negative connotation
paltry,very small or insignificant; contemptibly inadequate
ornate,highly decorated; excessively elaborate in style
omit,to leave out or exclude
lassitude,physical or mental weariness; lack of energy
intuitive,known by instinct rather than reasoning; easily understood or grasped
interminable,seemingly endless; tiresomely long
impulsive,acting without forethought; spontaneous
imperative,absolutely necessary or urgent; expressing a command
impediment,an obstacle or hindrance
ideologue,a person who strongly advocates a particular ideology
forebode,to be a sign of something bad; to predict or warn
extol,to praise enthusiastically
disciple,a follower or student of a teacher or philosophy; one who spreads another’s teachings
denigrate,to criticize unfairly; to belittle or disparage
counterfeit,fake or forged; to imitate dishonestly
cloying,excessively sweet; overly sentimental or rich
circumstantial,based on inference not direct evidence; dependent on conditions or context
bromide,a dull or unoriginal remark; something that soothes irritation
brevity,shortness in duration; concise expression
avid,showing eager enthusiasm or desire
avert,to turn away; to prevent or avoid
artful,clever or skillful; cunning or deceptive
abrasive,harsh or irritating in manner; capable of wearing down by friction
