Word,Meaning
volatile,liable to change rapidly and unpredictably, especially for the worse; unstable
virulent,extremely severe or harmful in its effects; bitterly hostile
veracity,conformity to facts; accuracy; truthfulness
unscrupulous,showing no moral principles; dishonest or unethical
understated,presented or expressed in a subtle and effective way; restrained
strife,angry or bitter disagreement; conflict
sophisticated,refined and cultured in tastes; complex or advanced in design
sensational,causing great public interest or excitement; exaggerated and dramatic
scintillating,brilliantly and excitingly clever or skillful; sparkling
propriety,conformity to accepted standards of behavior or morals; decorum
pertinent,relevant or applicable to a particular matter
lucid,expressed clearly; easy to understand; rational and sane
judicious,having or showing good judgment or sense
heed,to pay attention to; to take notice of
gratify,to give pleasure or satisfaction to
forsake,to abandon or renounce
foreseeable,able to be predicted or anticipated
exploitative,treating someone unfairly in order to benefit from their work or resources
exotic,originating in or characteristic of a distant foreign country; strikingly unusual
entrenched,firmly established and difficult to change
enchant,to delight or captivate completely; to charm
elated,very happy or proud; in high spirits
divergent,tending to be different or develop in different directions
distort,to twist out of shape; to give a misleading or false account
consensus,general agreement among a group
cloak,to disguise or conceal
apt,having a natural tendency or ability; appropriate or suitable; quick to learn
apropos,very appropriate to a particular situation; relevant
apathy,lack of interest, enthusiasm, or concern
alienate,to cause someone to feel isolated or estranged
