Word,Meaning
vitiate,to spoil or impair the quality or effectiveness of something; to corrupt
verisimilitude,the appearance of being true or real
urbane,refined, polished, and sophisticated in manner
transgression,an act that violates a law, rule, or moral code
tenable,able to be maintained or defended against attack or objection
tempestuous,characterized by strong and turbulent or conflicting emotions
renounce,to formally declare one’s abandonment of a claim, belief, or practice
provocative,intended to arouse strong emotion, interest, or reaction
peripheral,relating to or situated on the edge; of secondary or minor importance
parsimonious,unwilling to spend money or use resources; stingy
opprobrium,harsh criticism or public disgrace
onerous,involving a great deal of effort, difficulty, or burden
magisterial,having or showing great authority; commanding and dignified
lucrative,producing a great deal of profit
laconic,using very few words; concise to the point of seeming rude or mysterious
interchangeable,able to be exchanged or replaced without making a difference
incongruous,not in harmony or keeping with the surroundings or other aspects
hackneyed,lacking originality; overused and uninteresting
fungible,interchangeable; replaceable by another identical item
exasperated,intensely irritated or frustrated
exacerbate,to make a problem, situation, or feeling worse
encyclopedic,comprehensive in terms of information or learning; wide-ranging
eclipse,to overshadow or outshine something; to reduce in importance
dwindling,gradually diminishing in size, strength, or number
distressed,suffering from anxiety, sorrow, or pain
cavalier,showing a lack of proper concern; arrogant or offhand
canny,having or showing shrewdness and good judgment, especially in business
beneficent,doing or producing good; kindly and charitable
belligerent,hostile and aggressive; eager to fight
acrimonious,angry and bitter in tone or language
