Word,Meaning
voluble,speaking easily and fluently; readily expressive
ulterior,existing beyond what is obvious; deliberately hidden or secret
surfeit,an excessive amount; to supply or indulge to excess
stanch,to stop or restrain the flow of; firm or steadfast in attitude
sordid,dirty or squalid; morally degraded or dishonorable
sinuous,curved or winding; complex and indirect
sinecure,a position requiring little or no work but providing income
shirk,to avoid or neglect a duty or responsibility
serendipitous,occurring by chance in a happy or beneficial way
rhapsody,an enthusiastic or ecstatic expression of feeling; a musical composition
retaliate,to take revenge; to respond to an attack with a counterattack
recluse,a person who lives in isolation from society
ponderous,heavy or bulky; slow and dull in movement or thought
perspicacious,keenly perceptive or insightful
pastiche,a work that imitates the style of others; a mixture of various elements
ossify,to turn into bone or harden; to become rigid or inflexible
obfuscate,to deliberately make something unclear or confusing
immaculate,perfectly clean or spotless; free from flaws or mistakes
hapless,unfortunate or unlucky
fringe,at the outer edge or margin; unconventional or extreme
frenetic,fast-paced and frantic; wildly excited
extenuating,serving to lessen the seriousness of an offense
crescendo,a gradual increase in intensity or volume
coddle,to treat with excessive care or indulgence
callous,emotionally hardened or unfeeling; physically hardened
boon,a benefit or blessing
beguile,to charm or delight; to deceive or mislead
apprise,to inform or notify
aghast,filled with shock or horror
abrogate,to formally repeal or abolish a law or agreement
