Word,Meaning
ingenuous,innocent and unsuspecting; showing childlike honesty
incredulous,unwilling or unable to believe something; skeptical
diatribe,a bitter and forceful verbal attack against someone or something
desiccate,to dry out completely; to remove moisture
derivative,lacking originality; imitative of another work or idea
demur,to raise doubts or objections; to show reluctance
deft,neatly skillful and quick in movement or action
decorum,behavior in keeping with good taste and propriety
craven,lacking courage; cowardly
covet,to desire wrongfully or enviously what belongs to another
convoluted,extremely complex and difficult to follow
contrite,feeling or expressing remorse or guilt
construe,to interpret or understand the meaning of something
caustic,sarcastic in a scathing and bitter way; capable of burning or corroding by chemical action
castigate,to criticize or punish severely
candid,truthful and straightforward; frank
calumny,a false and malicious statement meant to damage someone's reputation
brazen,bold and without shame
benign,gentle and kind; not harmful or malignant
banal,boring or unoriginal; lacking freshness or novelty
avaricious,extremely greedy for wealth or material gain
audacious,showing a willingness to take bold risks; also showing an impudent lack of respect
anachronistic,belonging to a period other than that being portrayed; outdated
amenable,willing to be influenced or controlled; open and responsive to suggestion
ameliorate,to make something bad or unsatisfactory better
ambivalent,having mixed or contradictory feelings about someone or something
alacrity,brisk and cheerful readiness
aggrandize,to increase the power, status, or wealth of someone or something
advocate,to publicly support or recommend a particular cause or policy
adulterate,to make something poorer in quality by adding another substance; to contaminate
