Word,Meaning
vigilant,alert and watchful for danger or difficulties
replenish,to refill or restore to the previous level
repercussion,an unintended consequence or result of an action
regress,to return to a previous, usually worse, state
refute,to prove wrong or false
recourse,help or protection in a difficult situation; turning to something for aid
propagate,to spread or promote (an idea, belief, or species)
profound,very deep or intense; showing great insight
pretentious,attempting to impress by pretending greater importance or knowledge than is real
precipitous,very steep; happening suddenly or without careful thought
nonplussed,confused, puzzled, not knowing how to react
neutralize,to counteract or make ineffective
mollify,to soothe, calm, or reduce anger
mettlesome,full of courage and spirit; lively
lull,a temporary pause; to calm or soothe
languid,weak, lacking energy; slow and relaxed
ire,intense anger
intermittent,occurring at irregular intervals; not continuous
headstrong,stubborn and determined to do as one wants
glib,smooth-talking but insincere
fret,to worry anxiously
fawn,to excessively praise or flatter to gain favor
evoke,to bring to mind or call forth
duress,coercion or pressure to force someone’s actions
decry,to publicly criticize or condemn
curb,to restrain or control
convalescent,recovering from an illness or medical treatment
commence,to begin or start
astute,clever and perceptive; able to assess situations effectively
allusive,indirectly referring to something; hinting
