Word,Meaning
tendentious,expressing or intending to promote a particular cause or point of view, especially a controversial one
stern,serious and unrelenting in attitude or appearance; strict
soporific,tending to induce sleep; sleepy or drowsy
sedulous,showing dedication and diligence; hardworking
sanction,official permission or approval; also a penalty for disobeying a rule or law
salubrious,health-giving; promoting well-being
robust,strong and healthy; sturdy and vigorous
reproach,to express disapproval or disappointment in someone
pristine,in its original condition; pure and unspoiled
prescient,having or showing knowledge of events before they take place; prophetic
platitude,a remark or statement that has been used too often to be interesting or meaningful; cliché
plastic,easily shaped or molded; adaptable
neophyte,a person who is new to a subject, skill, or belief; a beginner
malleable,easily influenced or shaped; capable of being molded
malign,to speak harmful untruths about; to slander
loathe,to feel intense dislike or disgust for
irreverent,showing a lack of respect for people or things that are generally taken seriously
intrepid,fearless; adventurous
intransigent,unwilling or refusing to change one’s views or agree about something; uncompromising
insular,narrow-minded or isolated in outlook; lacking contact with other people or cultures
indolent,wanting to avoid activity or exertion; habitually lazy
indefatigable,persisting tirelessly; incapable of being fatigued
immutable,unchanging over time or unable to be changed
hyperbole,exaggerated statements or claims not meant to be taken literally
explicable,able to be explained or accounted for
dearth,a scarcity or lack of something
clamorous,marked by loud and confused noise; loudly demanding or insistent
archaic,very old or old-fashioned; no longer in common use
arbitrary,based on random choice or personal whim rather than reason or system
appease,to calm or pacify by giving in to demands; to make peace with
