Word,Meaning
viable,capable of working successfully; feasible
transitory,lasting only a short time; temporary
temporal,related to worldly affairs rather than spiritual; of or relating to time
recrudescent,reviving or breaking out again after a period of dormancy
radical,extreme or revolutionary; relating to fundamental change
prime,of first importance; to prepare or make ready
prevaricate,to speak or act in an evasive way; to lie or mislead
pedestrian,commonplace or dull; lacking inspiration or excitement
parochial,limited or narrow in scope or outlook; provincial
noble,having fine personal qualities or high moral principles; of high rank
naive,showing a lack of experience, wisdom, or judgment; innocent
munificent,very generous or giving more than necessary
mendacity,untruthfulness; tendency to lie
jettison,to throw or discard something unnecessary; to abandon
inveigle,to persuade or obtain by deception or flattery
gawky,awkward and clumsy in movement or manner
florid,excessively ornate or intricate; having a flushed complexion
fallible,capable of making mistakes or being wrong
facetious,treating serious issues with inappropriate humor; flippant
ebullient,cheerful and full of energy; exuberant
dubious,doubtful or uncertain; questionable in character or value
distill,to extract the essential meaning or most important aspects
dissent,to hold or express opinions that differ from those previously held
discomfit,to make uneasy or embarrassed; to frustrate
cunning,having or showing skill in achieving one’s ends by deceit or evasion
coin,to invent or create (especially a new word or phrase)
coercion,the act of compelling someone to do something by force or threat
base,lacking moral principles; ignoble
anoint,to ceremonially choose or designate for a special role or purpose
acolyte,an assistant or follower; a devoted supporter
