Word,Meaning
superficial,concerned only with surface aspects or appearance; lacking depth or substance
subtle,delicate or precise in meaning or intent; not obvious or easily detected
scathing,severely critical or scornful; harshly judgmental
rational,based on reason or logic rather than emotion
perpetuate,to make something (especially an undesirable situation) continue indefinitely
pellucid,transparently clear; easy to understand
overt,done or shown openly; not hidden or secret
obscure,not clearly expressed or easily understood; uncertain or unknown
numinous,having a strong spiritual or mysterious quality suggesting the divine
mimic,to imitate someone or something, often for comic or satirical effect
metaphorical,figurative; using symbolic comparison rather than literal meaning
lethargic,sluggish and lacking energy or enthusiasm
invidious,likely to cause resentment or anger in others; unfairly discriminatory
illusory,based on illusion; not real or deceptive
futile,incapable of producing any useful result; pointless
fervor,intense and passionate feeling
extraneous,irrelevant or unrelated to the subject being dealt with
exhilarating,making one feel very happy, animated, or elated
exhaustive,including all possibilities; thorough and comprehensive
documentary,consisting of official written or recorded evidence; factual
diffuse,spread out over a wide area; wordy and lacking clarity or focus
credible,able to be believed; convincing or trustworthy
covert,not openly acknowledged or displayed; hidden or secret
countenance,support or approval; also, a person’s facial expression
conciliatory,intended to placate, reconcile, or win over hostility
compromise,to settle a dispute by mutual concession; to weaken or endanger by yielding
byzantine,highly complex or intricate, often involving excessive detail or bureaucracy
baroque,highly ornate, extravagant, and elaborate in style
altruistic,showing a selfless concern for the well-being of others
affinity,a natural liking, sympathy, or attraction toward a person or thing
