Word,Meaning
wane,to decrease in size, strength, or intensity; to decline gradually
tout,to publicly praise or promote something enthusiastically
supersede,to take the place of something or someone previously in authority or use; to replace
stoic,enduring pain or hardship without showing feelings or complaining
somnolent,sleepy or drowsy; inducing sleep
slight,to insult by treating as unimportant or to show disrespect; small in degree or amount
sever,to cut off completely; to end a connection or relationship
salutary,producing good effects; beneficial
rudimentary,relating to basic or undeveloped principles; elementary
provincial,narrow-minded or unsophisticated; related to a specific region outside the capital
portend,to be a sign or warning that something is likely to happen
pensive,engaged in deep or serious thought; reflective
partial,biased; favoring one side over another; incomplete
nonchalant,appearing calm, relaxed, and unconcerned
myopic,short-sighted; lacking foresight or imagination
lament,to express grief, sorrow, or regret
indispensable,absolutely necessary; essential
hamper,to obstruct or make movement or progress difficult
furtive,attempting to avoid notice or attention; secretive
feign,to pretend to have a particular feeling or condition
fastidious,very attentive to detail; hard to please
expedite,to speed up the progress of a process or action
exculpate,to show or declare that someone is not guilty of wrongdoing
evasive,tending to avoid commitment or self-revelation; deliberately vague or ambiguous
esoteric,intended for or understood by only a small, specialized group
eschew,to deliberately avoid or abstain from something
befuddled,confused or unable to think clearly
ascribe,to attribute something to a cause, source, or person
antithesis,a person or thing that is the direct opposite of someone or something else
acumen,the ability to make good judgments and quick decisions; sharp insight
