Word,Meaning
tangential,slightly related but not central; going off-topic
surmount,to overcome a difficulty or obstacle
subsume,to include or absorb something into a larger category
subside,to become less intense; to sink or settle down
reiterate,to repeat something for emphasis or clarity
quiescent,inactive or dormant; temporarily quiet
poignant,emotionally moving or touching
plaintive,sounding sad or mournful
perpetrate,to commit (a harmful, illegal, or immoral action)
oblivious,unaware or not noticing something
mercurial,unpredictable and changeable in mood
jeopardize,to put something at risk or in danger
ironclad,strong and unbreakable; impossible to change
inundate,to flood or overwhelm
intertwined,closely connected or linked together
foil,to prevent the success of something; to thwart
finicky,difficult to please; overly particular or fussy
exorcise,to drive out (evil spirits or bad memories)
escalate,to increase rapidly in intensity or severity
disinterested,unbiased and impartial
deviate,to depart from a usual path, plan, or norm
despotic,acting like a tyrant; exercising absolute, oppressive power
denounce,to publicly condemn or criticize
contravene,to violate or go against (a rule, law, or agreement)
condone,to accept or allow something considered wrong to continue
buttress,to support or strengthen
buoyant,cheerful and optimistic; able to float
berate,to scold or criticize angrily
benevolent,kind, generous, and well-meaning
assail,to attack violently (physically or verbally)
