Word,Meaning
withstand,to resist or endure successfully
unravel,to untangle or undo; to investigate and clarify
token,a symbol or sign; something small given as a representation
subdued,quiet or restrained; brought under control or softened
stem from,to originate from or be caused by
sober,serious and thoughtful; not intoxicated
remarkable,worthy of attention; unusual or extraordinary
omniscient,knowing everything; all-knowing
multifaceted,having many aspects or features
keen,sharp or intense; eager or enthusiastic
ingenious,clever, original, or inventive
indefinite,not clearly defined or fixed; vague or uncertain
harrowing,distressing or terrifying
gloat,to take pleasure in another’s misfortune or in one’s own success
erstwhile,former or previous
elusive,difficult to catch or define; evasive
egalitarian,believing in or promoting equality among people
draconian,excessively harsh or severe
dormant,inactive but capable of becoming active
devious,using deceitful or indirect methods
detrimental,harmful or damaging
detract,to reduce the value or importance of something
defame,to damage someone’s reputation through false statements
conundrum,a confusing or difficult problem
contemporary,belonging to the same time period; modern or current
catastrophic,involving sudden great damage or disaster
amplify,to increase in strength or intensity; to expand upon
allude,to refer to indirectly or suggest
allegorical,symbolic; expressing deeper moral or political meaning
affluent,wealthy; having an abundance of resources
