Word,Meaning
verve,"enthusiasm; lively energy"
tenuous,"weak; flimsy; lacking strength"
temerity,"boldness that is reckless"
stolid,"unemotional; showing little feeling"
spurn,"to reject with disdain"
soliloquy,"a speech spoken to oneself (on stage)"
slovenly,"(1) messy or untidy; (2) careless in habits or work"
remuneration,"payment; compensation"
precocious,"showing early maturity or talent"
plucky,"brave and courageous"
odious,"extremely unpleasant; hateful"
obstreperous,"noisy and difficult to control"
obdurate,"stubborn; inflexible in opinion"
nominal,"(1) existing in name only; (2) very small (amount)"
intrigue,"(1) to fascinate; (2) to scheme or plot secretly"
indecorous,"improper; violating social norms of good taste"
grovel,"to beg or act overly submissive"
gratuitous,"unnecessary; uncalled for"
flagrant,"shockingly obvious; blatant"
feint,"a deceptive or fake movement"
fallow,"(1) inactive or unproductive; (2) uncultivated land"
factious,"causing divisions; inclined to form factions"
extemporize,"to improvise; speak or perform without preparation"
deportment,"behavior; manner of conducting oneself"
cogitate,"to think deeply; to ponder"
capitulate,"to surrender; give up resistance"
callow,"immature; inexperienced"
bravado,"showy or exaggerated bravery"
abide,"to tolerate; to remain or continue"
aberrant,"abnormal; deviating from the norm"
