Word,Meaning
vacillate,to waver between different opinions or actions; to be indecisive
tranquil,free from disturbance; calm and peaceful
scrupulous,very careful and thorough; having strong moral integrity
recondite,difficult to understand; obscure or hidden
punctilious,showing great attention to detail or correct behavior
prudent,acting with care and thought for the future; wise and cautious
prophetic,accurately predicting or foretelling future events
profundity,deep insight or great intellectual depth
precipitate,to cause something to happen suddenly or prematurely; done rashly or without careful thought
polemical,relating to strongly critical or controversial writing or speech
placid,calm and peaceful; not easily upset or excited
pedantic,overly concerned with minor details or rules; showing off learning
paradigmatic,serving as a typical example or model of something
opaque,not transparent; difficult to understand or explain
obsolete,out of date; no longer in use or useful
mitigate,to make less severe, serious, or painful
invigorate,to give strength or energy to; to animate
intimate,to suggest or hint at something subtly
inimical,hostile; unfriendly; tending to obstruct or harm
incendiary,designed to cause fires; tending to stir up conflict
garrulous,excessively talkative, especially about trivial matters
fervid,showing intense emotion or passion
ephemeral,lasting for a very short time; fleeting
enervate,to weaken or drain energy from
emulate,to imitate or match (a person or achievement), typically out of admiration
disparate,essentially different in kind; not allowing comparison
corroborate,to confirm or give support to a statement, theory, or finding
cherish,to hold something dear; to care for deeply
approbation,official approval or praise
abstain,to deliberately refrain from doing or consuming something
