Word,Meaning
wily,clever and crafty; skilled at gaining an advantage through trickery
substantiate,to provide evidence to support or prove a claim
sophistry,clever but false reasoning; deceptive argumentation
shrill,high-pitched and unpleasant; loud and piercing
retiring,shy and reserved; withdrawing from social contact
redoubtable,formidable and inspiring fear or respect
recant,to publicly withdraw or take back a statement or belief
ravage,to cause severe damage or destruction
quibble,to argue over trivial details; a minor objection
quash,to reject or put an end to; to suppress
quarantine,isolating people or things to prevent disease spread
quandary,a state of uncertainty or confusion about what to do
penchant,a strong liking or tendency toward something
inchoate,just beginning; not fully formed or developed
impudent,disrespectful; boldly rude
hysterical,extremely emotional; out of control
gauche,awkward, socially clumsy, lacking grace
enmity,deep hostility or hatred
endemic,regularly found in a particular area or group
distend,to swell or expand
disperse,to scatter in different directions
disdain,strong dislike or contempt
deprecate,to disapprove of; to belittle
coy,pretending shyness or modesty to be appealing; reluctant to share
burnish,to polish or make shiny; to enhance
august,majestic and dignified; inspiring respect
agitate,to stir up emotions; to campaign or shake
affront,a deliberate insult
abstract,theoretical, not concrete
abstract (2),to remove or take away; to summarize
abeyance,a temporary pause, suspension, or inactivity
