Word,Meaning
valor,courage or bravery in the face of danger
supple,bending easily; flexible; adaptable in movement or mind
resolute,admirably determined; unwavering
resilient,able to recover quickly from difficulties; tough
repertoire,the complete list of skills, works, or abilities someone can perform
render,to provide or give; to make or cause to become
perseverance,persistent effort despite difficulty or delay
paradoxical,seemingly contradictory but possibly true
mutiny,rebellion against authority, especially by soldiers or sailors
meritorious,deserving praise or reward
magnanimous,generous and forgiving, especially toward a rival or less powerful person
itinerant,traveling from place to place; wandering
incontrovertible,undeniable; impossible to dispute
imminent,about to happen very soon
goad,to provoke or urge someone to act
fortuitous,happening by chance, often in a lucky or fortunate way
fortitude,courage in facing pain or adversity
fledgling,a beginner; someone inexperienced; also a young bird learning to fly
eradicate,to completely destroy or eliminate
enthrall,to captivate or charm completely
eloquent,fluent or persuasive in speaking or writing
dispense,to distribute; or to manage without something
delusion,a false belief or impression maintained despite reality
decipher,to interpret or make sense of something difficult to understand
cathartic,providing psychological relief through open expression of strong emotions
barrage,a concentrated or overwhelming outpouring (of questions, criticism, etc.)
aver,to state or assert to be the case
animosity,strong hostility or hatred
amicable,friendly and without conflict
abject,extremely bad, unpleasant, or degrading; completely without pride or dignity
