Word,Meaning
verbose,using more words than needed; wordy
prodigal,wastefully extravagant; spending resources freely and recklessly
polarize,to divide into sharply opposing groups or opinions
equivocate,to speak ambiguously to avoid committing oneself or to mislead
dilatory,slow to act; intended to cause delay
diffident,modest or shy due to lack of self-confidence
desultory,lacking a clear plan or purpose; jumping from one thing to another aimlessly
deference,respectful submission or yielding to another's opinion or authority
cosmopolitan,familiar with and at ease in many different countries and cultures; worldly and sophisticated
copious,abundant in supply or quantity
contend,to struggle or compete; to assert or argue a position
compelling,evoking interest, attention, or admiration in a powerful way; convincing
cogent,clear, logical, and convincing
coalesce,to come together and form one mass or whole
chicanery,the use of trickery to achieve a political, financial, or legal purpose
censure,to express severe disapproval, especially in a formal statement
canonize,to treat or regard someone as being above reproach; to declare someone a saint
cacophonous,producing a harsh, discordant mixture of sounds
burgeon,to begin to grow or increase rapidly; to flourish
bucolic,relating to the pleasant aspects of the countryside and country life
betray,to reveal or expose something unintentionally; to be disloyal
assuage,to make an unpleasant feeling less intense; to satisfy or relieve
ascetic,practicing severe self-discipline and abstention from indulgence, often for religious reasons
artless,without deception or guile; natural and simple; lacking art or skill
arduous,requiring strenuous effort; very difficult and tiring
arcane,understood by few; mysterious or secret
antipathy,a deep-seated feeling of dislike; aversion
anomalous,deviating from what is standard, normal, or expected
abjure,to renounce or reject a belief, cause, or claim formally
abate,to become less intense or widespread; to reduce or diminish
