Word,Meaning
woeful,full of sorrow or misery; very bad or unfortunate
vanquish,to defeat thoroughly; to overcome in battle or conflict
universal,applicable to all cases; widespread or common
tirade,a long, angry, and critical speech
terse,sparing in the use of words; abrupt and concise
supplicate,to ask or beg earnestly and humbly
stalwart,strong, loyal, and hardworking; dependable
slander,false spoken statement damaging to a person’s reputation
schism,a split or division between strongly opposed sections or parties
prowess,skill or expertise in a particular activity or field; bravery in battle
providential,occurring at a favorable time; opportune or lucky
pious,devoutly religious; showing sincere reverence or respect
perennial,lasting or existing for a long time; enduring or continually recurring
nascent,just coming into existence and beginning to display potential
modish,conforming to or following current fashion or style
minute,extremely small; precise or detailed
manifest,clear or obvious to the eye or mind; to show or demonstrate plainly
malfeasance,wrongdoing or misconduct, especially by a public official
libertine,a person who behaves without moral principles or restraint
largesse,generosity in bestowing money or gifts upon others
intrinsic,belonging naturally; essential or inherent
harbinger,a person or thing that announces or signals the approach of something
glum,looking or feeling dejected; gloomy
fabricate,to invent or concoct something, typically with deceitful intent
expedient,(of an action) convenient and practical, although possibly improper or immoral
duplicitous,deceitful; deliberately deceptive in words or actions
discrepancy,a lack of compatibility or similarity between two or more facts
digression,a temporary departure from the main subject in speech or writing
confound,to cause surprise or confusion; to mix up or frustrate
abreast,up to date with the latest news or information; side by side
