Word,Meaning
zealous,filled with intense enthusiasm or devotion to a cause
weary,feeling or showing tiredness, especially from exertion or lack of sleep
utterly,completely; absolutely
undermine,to weaken or damage something gradually or secretly
stigmatize,to brand or mark as disgraceful or shameful
sporadic,occurring at irregular intervals; not constant or steady
restive,impatient or uneasy under restriction; difficult to control
remedial,intended to correct or improve deficient skills or situations
prosaic,commonplace or dull; lacking imagination or originality
plodding,slow-moving and unexciting; lacking liveliness
panache,flamboyant confidence or style; distinctive elegance
marginalize,to treat as insignificant or peripheral
lax,not strict or careful; negligent
laudable,deserving praise and commendation
irresolute,uncertain or hesitant; lacking determination
invasive,tending to spread aggressively; intruding on a person’s privacy or space
impertinent,rude and disrespectful; not showing proper manners
imperious,arrogantly domineering or overbearing
heterogeneous,diverse in character or content; consisting of different kinds
frivolous,not having any serious purpose or value; carefree and superficial
fanciful,over-imaginative and unrealistic
extravagant,spending too much or exceeding reasonable limits; lavish
estranged,no longer close or affectionate; alienated
enigmatic,difficult to interpret or understand; mysterious
discernible,able to be perceived or recognized
diminutive,extremely or unusually small
debunk,to expose the falseness or hollowness of an idea or belief
conventional,based on accepted standards or traditions; ordinary and unoriginal
clangor,a continuous loud banging or ringing sound
aloof,emotionally distant or detached; not friendly or forthcoming
