Word,Meaning
vociferous,expressing opinions or feelings loudly and forcefully
visionary,thinking about or planning the future with imagination and wisdom
thorough,complete with attention to every detail; comprehensive
synoptic,forming a general summary or overview
superfluous,unnecessary or more than enough; excessive
skittish,easily frightened or nervous; unpredictable in behavior
ruminate,to think deeply about something; to meditate
relinquish,to voluntarily give up or let go of something
refine,to improve something by making small changes; to purify
reconcile,to restore friendly relations; to make two ideas or situations compatible
profligate,wastefully extravagant; recklessly spending or immoral
premeditate,to think out or plan beforehand (especially a crime or action)
peculiar,strange, odd, or unusual; belonging exclusively to a person or group
monotonous,dull and repetitive; lacking in variety or interest
lionize,to treat someone as a celebrity; to give great public attention or approval
inscrutable,impossible to understand or interpret; mysterious
inhibit,to hinder, restrain, or prevent an action or process
improvise,to create or perform spontaneously without preparation
immure,to enclose or confine someone against their will
iconoclastic,attacking or rejecting traditional beliefs or institutions
fester,to become worse or more intense, especially through neglect; to rot
feckless,lacking initiative or strength of character; irresponsible
evade,to escape or avoid through cleverness or trickery
elucidate,to make something clear; to explain
curtail,to reduce or limit something; to shorten
crestfallen,sad and disappointed
comply,to act in accordance with a rule, request, or demand
bridle,to show resentment or anger; also, to restrain or control
banish,to send someone away as punishment; to get rid of something unwanted
antedate,to come before something in time; to precede
