Word,Meaning
overt,done or shown openly; not hidden or secret
laconic,using very few words; concise to the point of seeming rude or mysterious
encyclopedic,comprehensive in terms of information or learning; wide-ranging
hackneyed,lacking originality; overused and uninteresting
apropos,very appropriate to a particular situation; relevant
verisimilitude,the appearance of being true or real
mawkish,overly sentimental or emotional to the point of being sickening
relish,great enjoyment or pleasure in something
credible,able to be believed; convincing or trustworthy
peripheral,relating to or situated on the edge; of secondary or minor importance
abhor,to regard with disgust and hatred; to loathe
pellucid,transparently clear; easy to understand
elated,very happy or proud; in high spirits
sluggish,slow-moving or lacking energy
foreseeable,able to be predicted or anticipated
churlish,rude in a mean-spirited or surly way
exhaustive,including all possibilities; thorough and comprehensive
interchangeable,able to be exchanged or replaced without making a difference
truculent,eager or quick to argue or fight; aggressively defiant
cavalier,showing a lack of proper concern; arrogant or offhand
complacent,self-satisfied and unaware of possible dangers or deficiencies
debilitating,making someone weak or infirm; causing a loss of strength
dwindling,"gradually diminishing in size, strength, or number"
eclipse,to overshadow or outshine something; to reduce in importance
lethargic,sluggish and lacking energy or enthusiasm
magisterial,having or showing great authority; commanding and dignified
cumbersome,large or heavy and therefore difficult to carry or use; unwieldy
byzantine,"highly complex or intricate, often involving excessive detail or bureaucracy"
vitiate,to spoil or impair the quality or effectiveness of something; to corrupt
urbane,"refined, polished, and sophisticated in manner"
understated,presented or expressed in a subtle and effective way; restrained
rapacious,aggressively greedy or grasping
belligerent,hostile and aggressive; eager to fight
affinity,"a natural liking, sympathy, or attraction toward a person or thing"
onerous,"involving a great deal of effort, difficulty, or burden"
canny,"having or showing shrewdness and good judgment, especially in business"
propriety,conformity to accepted standards of behavior or morals; decorum
opprobrium,harsh criticism or public disgrace
obscure,not clearly expressed or easily understood; uncertain or unknown
eccentric,unconventional and slightly strange
scintillating,brilliantly and excitingly clever or skillful; sparkling
tenable,able to be maintained or defended against attack or objection
perpetuate,to make something (especially an undesirable situation) continue indefinitely
apathy,"lack of interest, enthusiasm, or concern"
lucrative,producing a great deal of profit
baroque,"highly ornate, extravagant, and elaborate in style"
subtle,delicate or precise in meaning or intent; not obvious or easily detected
entrenched,firmly established and difficult to change
unscrupulous,showing no moral principles; dishonest or unethical
provocative,"intended to arouse strong emotion, interest, or reaction"
clandestine,"kept secret or done secretively, especially for illicit purposes"
documentary,consisting of official written or recorded evidence; factual
metaphorical,figurative; using symbolic comparison rather than literal meaning
futile,incapable of producing any useful result; pointless
illusory,based on illusion; not real or deceptive
judicious,having or showing good judgment or sense
volatile,"liable to change rapidly and unpredictably, especially for the worse; unstable"
alienate,to cause someone to feel isolated or estranged
perilous,full of danger or risk
fervor,intense and passionate feeling
panacea,a universal solution or remedy for all problems or diseases
spartan,showing or characterized by simplicity and lack of luxury or comfort
sophisticated,refined and cultured in tastes; complex or advanced in design
virulent,extremely severe or harmful in its effects; bitterly hostile
